"population_statistic",1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
population,25012374,25765673,26513030,27261747,27984155,28704674,29435571,30130983,30838302,31544266,32240827,32882704,33505406,34103149,34692266,35280725,35848523,36411795,36969185,37534236,38123775,38723248,39326352,39910403,40405956,40805744,41213674,41621690,42031247,42449038,42869283,43295704,43747962,44194628,44641540,45092991,45524681,45953580,46286503,46616677,47008111,47370164,47644736,47892330,48082519,48184561,48438292,48683638,49054708,49307835,49554112,49936638,50199853,50428893,50746659,51014947,51217803,51361911,51585058,51764822,51836239,51744876,51628117,51558034,51500029,51447504,51397309,51348388,51300095,51250905,51199019
male,12550691,12936583,13320983,13708120,14081950,14452831,14829861,15205393,15576098,15940965,16308607,16648884,16955438,17234877,17514223,17765828,18058503,18349416,18637254,18929361,19235736,19535680,19837392,20129120,20375175,20575600,20771997,20959980,21155226,21357389,21568181,21783914,22013655,22242554,22472496,22705329,22924512,23148092,23295727,23457837,23666769,23854971,23991377,24120872,24210740,24243234,24369561,24491190,24671648,24774341,24881114,25069867,25187380,25285319,25445077,25585894,25670949,25736793,25857689,25948706,25925697,25857805,25790370,25749708,25714669,25682920,25652688,25623449,25594665,25565335,25534271
female,12461683,12829090,13192047,13553627,13902205,14251843,14605710,14925590,15262204,15603301,15932220,16233820,16549968,16868272,17178043,17514897,17790020,18062379,18331931,18604875,18888039,19187568,19488960,19781283,20030781,20230144,20441677,20661710,20876021,21091649,21301102,21511790,21734307,21952074,22169044,22387662,22600169,22805488,22990776,23158840,23341342,23515193,23653359,23771458,23871779,23941327,24068731,24192448,24383060,24533494,24672998,24866771,25012473,25143574,25301582,25429053,25546854,25625118,25727369,25816116,25910542,25887071,25837747,25808326,25785360,25764584,25744621,25724939,25705430,25685570,25664748
sex_proportion,100.7,100.8,101,101.1,101.3,101.4,101.5,101.9,102.1,102.2,102.4,102.6,102.4,102.2,102,101.4,101.5,101.6,101.7,101.7,101.8,101.8,101.8,101.8,101.7,101.7,101.6,101.4,101.3,101.3,101.3,101.3,101.3,101.3,101.4,101.4,101.4,101.5,101.3,101.3,101.4,101.4,101.4,101.5,101.4,101.3,101.2,101.2,101.2,101,100.8,100.8,100.7,100.6,100.6,100.6,100.5,100.4,100.5,100.5,100.1,99.9,99.8,99.8,99.7,99.7,99.6,99.6,99.6,99.5,99.5
pop_groth,0,2.97,2.86,2.78,2.62,2.54,2.51,2.34,2.32,2.26,2.18,1.97,1.88,1.77,1.71,1.68,1.6,1.56,1.52,1.52,1.56,1.56,1.55,1.47,1.23,0.98,0.99,0.99,0.98,0.99,0.99,0.99,1.04,1.02,1.01,1.01,0.95,0.94,0.72,0.71,0.84,0.77,0.58,0.52,0.4,0.21,0.53,0.51,0.76,0.51,0.5,0.77,0.53,0.46,0.63,0.53,0.4,0.28,0.43,0.35,0.14,-0.18,-0.23,-0.14,-0.11,-0.1,-0.1,-0.1,-0.09,-0.1,-0.1
young,10587583,11065019,11472623,11850374,12215638,12577740,12916059,13199493,13459383,13638232,13709367,13764089,13858472,13849385,13790071,13614403,13434830,13273107,13116029,13005315,12950775,12925036,12886600,12800968,12591760,12304542,12029833,11746377,11487445,11261131,10973592,10858720,10791426,10734528,10653446,10536828,10403277,10233102,10091517,9972894,9911229,9852452,9732348,9584906,9430513,9223260,8979585,8714382,8478823,8229264,7979439,7771460,7577231,7392237,7213693,7029883,6864563,6724283,6595054,6448080,6305870,6143634,5934472,5686017,5462580,5252258,5020301,4810732,4623091,4474872,4329353
middle,13698341,13949773,14257691,14595205,14923382,15245851,15592878,16003566,16445982,16957491,17540152,18064092,18602276,19176510,19781685,20448875,21151580,21829330,22495994,23123979,23716967,24300033,24880337,25494901,26140581,26759353,27383105,27998885,28581942,29134922,29700607,30170543,30610680,31023107,31445602,31899511,32326522,32791167,33125933,33420207,33701986,33946787,34155443,34367560,34521703,34640514,34932893,35208580,35587293,35901685,36208564,36649999,36855893,37013997,37255840,37443896,37596157,37571568,37623919,37627748,37378502,37029895,36675233,36372084,36029123,35609992,35179627,34867157,34477274,34179583,33813340
old,726450,750881,782716,816168,845135,881083,926634,927924,932937,948543,991308,1054523,1044658,1077254,1120510,1217447,1262113,1309358,1357162,1404942,1456033,1498179,1559415,1614534,1673615,1741849,1800736,1876428,1961860,2052985,2195084,2266441,2345856,2436993,2542492,2656652,2794882,2929311,3069053,3223576,3394896,3570925,3756945,3939864,4130303,4320787,4525814,4760676,4988592,5176886,5366109,5515179,5766729,6022659,6277126,6541168,6757083,7066060,7366085,7688994,8151867,8571347,9018412,9499933,10008326,10585254,11197381,11670499,12199730,12596450,13056326
young_pro,42.3,42.9,43.3,43.5,43.7,43.8,43.9,43.8,43.6,43.2,42.5,41.9,41.4,40.6,39.7,38.6,37.5,36.5,35.5,34.6,34,33.4,32.8,32.1,31.2,30.2,29.2,28.2,27.3,26.5,25.6,25.1,24.7,24.3,23.9,23.4,22.9,22.3,21.8,21.4,21.1,20.8,20.4,20,19.6,19.1,18.5,17.9,17.3,16.7,16.1,15.6,15.1,14.7,14.2,13.8,13.4,13.1,12.8,12.5,12.2,11.9,11.5,11,10.6,10.2,9.8,9.4,9,8.7,8.5
middle_pro,54.8,54.1,53.8,53.5,53.3,53.1,53,53.1,53.3,53.8,54.4,54.9,55.5,56.2,57,58,59,60,60.9,61.6,62.2,62.8,63.3,63.9,64.7,65.6,66.4,67.3,68,68.6,69.3,69.7,70,70.2,70.4,70.7,71,71.4,71.6,71.7,71.7,71.7,71.7,71.8,71.8,71.9,72.1,72.3,72.5,72.8,73.1,73.4,73.4,73.4,73.4,73.4,73.4,73.2,72.9,72.7,72.1,71.6,71,70.5,70,69.2,68.4,67.9,67.2,66.7,66
old_pro,2.9,2.9,3,3,3,3.1,3.1,3.1,3,3,3.1,3.2,3.1,3.2,3.2,3.5,3.5,3.6,3.7,3.7,3.8,3.9,4,4,4.1,4.3,4.4,4.5,4.7,4.8,5.1,5.2,5.4,5.5,5.7,5.9,6.1,6.4,6.6,6.9,7.2,7.5,7.9,8.2,8.6,9,9.3,9.8,10.2,10.5,10.8,11,11.5,11.9,12.4,12.8,13.2,13.8,14.3,14.9,15.7,16.6,17.5,18.4,19.4,20.6,21.8,22.7,23.8,24.6,25.5
entire_sup_pro,82.6,84.7,86,86.8,87.5,88.3,88.8,88.3,87.5,86,83.8,82,80.1,77.8,75.4,72.5,69.5,66.8,64.3,62.3,60.7,59.4,58.1,56.5,54.6,52.5,50.5,48.7,47.1,45.7,44.3,43.5,42.9,42.5,42,41.4,40.8,40.1,39.7,39.5,39.5,39.5,39.5,39.4,39.3,39.1,38.7,38.3,37.8,37.3,36.9,36.3,36.2,36.2,36.2,36.2,36.2,36.7,37.1,37.6,38.7,39.7,40.8,41.8,42.9,44.5,46.1,47.3,48.8,49.9,51.4
young_sup_pro,77.3,79.3,80.5,81.2,81.9,82.5,82.8,82.5,81.8,80.4,78.2,76.2,74.5,72.2,69.7,66.6,63.5,60.8,58.3,56.2,54.6,53.2,51.8,50.2,48.2,46,43.9,42,40.2,38.7,36.9,36,35.3,34.6,33.9,33,32.2,31.2,30.5,29.8,29.4,29,28.5,27.9,27.3,26.6,25.7,24.8,23.8,22.9,22,21.2,20.6,20,19.4,18.8,18.3,17.9,17.5,17.1,16.9,16.6,16.2,15.6,15.2,14.7,14.3,13.8,13.4,13.1,12.8
old_sup_pro,5.3,5.4,5.5,5.6,5.7,5.8,5.9,5.8,5.7,5.6,5.7,5.8,5.6,5.6,5.7,6,6,6,6,6.1,6.1,6.2,6.3,6.3,6.4,6.5,6.6,6.7,6.9,7,7.4,7.5,7.7,7.9,8.1,8.3,8.6,8.9,9.3,9.6,10.1,10.5,11,11.5,12,12.5,13,13.5,14,14.4,14.8,15,15.6,16.3,16.8,17.5,18,18.8,19.6,20.4,21.8,23.1,24.6,26.1,27.8,29.7,31.8,33.5,35.4,36.9,38.6
old_number,6.9,6.8,6.8,6.9,6.9,7,7.2,7,6.9,7,7.2,7.7,7.5,7.8,8.1,8.9,9.4,9.9,10.3,10.8,11.2,11.6,12.1,12.6,13.3,14.2,15,16,17.1,18.2,20,20.9,21.7,22.7,23.9,25.2,26.9,28.6,30.4,32.3,34.3,36.2,38.6,41.1,43.8,46.8,50.4,54.6,58.8,62.9,67.2,71,76.1,81.5,87,93,98.4,105.1,111.7,119.2,129.3,139.5,152,167.1,183.2,201.5,223,242.6,263.9,281.5,301.6
middle_age,19,18.9,18.7,18.5,18.3,18.3,18.3,18.3,18.3,18.4,18.5,18.6,18.7,18.9,19.2,19.6,20,20.5,20.9,21.4,21.8,22.2,22.7,23.2,23.8,24.3,24.8,25.4,25.9,26.4,27,27.5,27.9,28.4,28.8,29.3,29.8,30.3,30.7,31.2,31.8,32.3,32.9,33.5,34.1,34.8,35.4,36.1,36.7,37.3,37.9,38.5,39.1,39.7,40.3,40.9,41.4,42,42.6,43.1,43.7,44.3,45,45.6,46.3,46.9,47.5,48,48.6,49.2,49.8
aver_age,23.1,22.9,22.9,22.9,22.9,23,23.1,23.1,23.2,23.4,23.6,23.8,23.8,23.9,24.1,24.5,24.8,25.1,25.4,25.7,25.9,26.2,26.5,26.8,27.1,27.5,27.9,28.3,28.7,29,29.5,29.8,30.2,30.5,30.8,31.2,31.5,31.9,32.3,32.7,33.1,33.5,34,34.5,34.9,35.5,36,36.5,37,37.4,37.9,38.4,38.8,39.3,39.7,40.2,40.7,41.2,41.7,42.2,42.7,43.3,43.9,44.5,45.1,45.6,46.2,46.7,47.2,47.6,48.1
